Parcel,Year,Cover..,Transects,Cover.After.Species.Caps,Allowed.Sp.Count,Cover.Status
LAW090,2022,15.2,20,11.43,8,✅ Compliant
LAW090,2024,13.07,20,10,7,✅ Compliant
LAW090,2025,12.48,30,10.95,6,✅ Compliant
LAW094,2022,10.03,20,8.88,6,❌ Non-compliant
LAW094,2024,9.65,20,8.98,5,❌ Non-compliant
LAW094,2025,8.47,20,8.17,7,❌ Non-compliant
LAW095,2022,11,20,8.23,6,❌ Non-compliant
LAW095,2024,11.15,20,9.45,6,❌ Non-compliant
LAW095,2025,7.42,20,5.95,5,❌ Non-compliant
LAW118/129,2022,16.2,20,6.95,5,❌ Non-compliant
LAW118/129,2023,22.7,15,10.23,5,✅ Compliant
LAW118/129,2025,21.38,20,7.02,4,❌ Non-compliant
