Parcel,Species,n_transects,n_transects_with_species,n_transects_zero,mean_cover,sd_cover,mean_relative,sd_relative
LAW012,ATTO,40,0,40,0,0,0,0
LAW012,ERNA10,40,0,40,0,0,0,0
LAW024,ATTO,10,0,10,0,0,0,0
LAW024,ERNA10,10,2,8,1,2.8284271247461903,7.884615384615383,23.61289972727984
LAW028,ATTO,20,0,20,0,0,0,0
LAW028,ERNA10,20,0,20,0,0,0,0
LAW048,ATTO,8,2,6,0.625,1.1877349391654208,3.793103448275862,7.48249755509262
LAW048,ERNA10,8,3,5,2.25,3.615443067098218,10.296101949025488,14.749096610864992
LAW049,ATTO,10,0,10,0,0,0,0
LAW049,ERNA10,10,0,10,0,0,0,0
LAW091,ATTO,32,0,32,0,0,0,0
LAW091,ERNA10,32,0,32,0,0,0,0
LAW093,ATTO,5,0,5,0,0,0,0
LAW093,ERNA10,5,0,5,0,0,0,0
LAW117,ATTO,33,0,33,0,0,0,0
LAW117,ERNA10,33,0,33,0,0,0,0
LAW130,ATTO,10,0,10,0,0,0,0
LAW130,ERNA10,10,0,10,0,0,0,0
LAW134,ATTO,20,0,20,0,0,0,0
LAW134,ERNA10,20,0,20,0,0,0,0
