Parcel,Year,Transect ID,Total Cover (%),Meets 2% Threshold
LAW090,2022,LAW090_61,14.5,Yes
LAW090,2022,LAW090_62,16,Yes
LAW090,2022,LAW090_63,13.5,Yes
LAW090,2022,LAW090_64,10.5,Yes
LAW090,2022,LAW090_65,21.5,Yes
LAW090,2022,LAW090_66,16.5,Yes
LAW090,2022,LAW090_67,16.5,Yes
LAW090,2022,LAW090_68,7.5,Yes
LAW090,2022,LAW090_69,13.5,Yes
LAW090,2022,LAW090_70,11.5,Yes
LAW090,2022,LAW090_71,7,Yes
LAW090,2022,LAW090_72,12.5,Yes
LAW090,2022,LAW090_73,22,Yes
LAW090,2022,LAW090_74,27,Yes
LAW090,2022,LAW090_75,21,Yes
LAW090,2022,LAW090_76,17,Yes
LAW090,2022,LAW090_77,16,Yes
LAW090,2022,LAW090_78,17.5,Yes
LAW090,2022,LAW090_79,9.5,Yes
LAW090,2022,LAW090_80,23.5,Yes
LAW090,2024,LAW090_61,28.5,Yes
LAW090,2024,LAW090_62,14,Yes
LAW090,2024,LAW090_63,17.5,Yes
LAW090,2024,LAW090_64,5,Yes
LAW090,2024,LAW090_65,20,Yes
LAW090,2024,LAW090_66,11.5,Yes
LAW090,2024,LAW090_67,4.5,Yes
LAW090,2024,LAW090_68,10,Yes
LAW090,2024,LAW090_69,4.5,Yes
LAW090,2024,LAW090_70,9,Yes
LAW090,2024,LAW090_71,6.5,Yes
LAW090,2024,LAW090_72,10.5,Yes
LAW090,2024,LAW090_73,23,Yes
LAW090,2024,LAW090_74,15.5,Yes
LAW090,2024,LAW090_75,19.5,Yes
LAW090,2024,LAW090_76,13.5,Yes
LAW090,2024,LAW090_77,11.5,Yes
LAW090,2024,LAW090_78,17.5,Yes
LAW090,2024,LAW090_79,10.5,Yes
LAW090,2024,LAW090_80,13.5,Yes
LAW090,2025,LAW090_1,14,Yes
LAW090,2025,LAW090_10,10,Yes
LAW090,2025,LAW090_2,6,Yes
LAW090,2025,LAW090_3,8,Yes
LAW090,2025,LAW090_4,17.5,Yes
LAW090,2025,LAW090_5,18,Yes
LAW090,2025,LAW090_6,16.5,Yes
LAW090,2025,LAW090_61,14,Yes
LAW090,2025,LAW090_62,18.5,Yes
LAW090,2025,LAW090_63,2,Yes
LAW090,2025,LAW090_64,7,Yes
LAW090,2025,LAW090_65,11.5,Yes
LAW090,2025,LAW090_66,8,Yes
LAW090,2025,LAW090_67,12,Yes
LAW090,2025,LAW090_68,8.5,Yes
LAW090,2025,LAW090_69,5,Yes
LAW090,2025,LAW090_7,9.5,Yes
LAW090,2025,LAW090_70,8.5,Yes
LAW090,2025,LAW090_71,5.5,Yes
LAW090,2025,LAW090_72,10.5,Yes
LAW090,2025,LAW090_73,22,Yes
LAW090,2025,LAW090_74,17.5,Yes
LAW090,2025,LAW090_75,17,Yes
LAW090,2025,LAW090_76,14.5,Yes
LAW090,2025,LAW090_77,14.5,Yes
LAW090,2025,LAW090_78,16,Yes
LAW090,2025,LAW090_79,7,Yes
LAW090,2025,LAW090_8,8.5,Yes
LAW090,2025,LAW090_80,18,Yes
LAW090,2025,LAW090_9,29,Yes
LAW090,2025,LAW090_999,3,Yes
LAW094,2022,LAW094_41,8.5,Yes
LAW094,2022,LAW094_42,11.5,Yes
LAW094,2022,LAW094_43,10,Yes
LAW094,2022,LAW094_44,10.5,Yes
LAW094,2022,LAW094_45,5,Yes
LAW094,2022,LAW094_46,13,Yes
LAW094,2022,LAW094_47,10.5,Yes
LAW094,2022,LAW094_48,13,Yes
LAW094,2022,LAW094_49,14,Yes
LAW094,2022,LAW094_50,13,Yes
LAW094,2022,LAW094_51,6,Yes
LAW094,2022,LAW094_52,7.5,Yes
LAW094,2022,LAW094_53,12.5,Yes
LAW094,2022,LAW094_54,10,Yes
LAW094,2022,LAW094_55,13,Yes
LAW094,2022,LAW094_56,10.5,Yes
LAW094,2022,LAW094_57,11.5,Yes
LAW094,2022,LAW094_58,10,Yes
LAW094,2022,LAW094_59,12,Yes
LAW094,2022,LAW094_60,11,Yes
LAW094,2024,LAW094_41,12,Yes
LAW094,2024,LAW094_42,12,Yes
LAW094,2024,LAW094_43,7.5,Yes
LAW094,2024,LAW094_44,18.5,Yes
LAW094,2024,LAW094_45,10.5,Yes
LAW094,2024,LAW094_46,5,Yes
LAW094,2024,LAW094_47,3.5,Yes
LAW094,2024,LAW094_48,8,Yes
LAW094,2024,LAW094_49,15.5,Yes
LAW094,2024,LAW094_50,20.5,Yes
LAW094,2024,LAW094_51,5.5,Yes
LAW094,2024,LAW094_52,9.5,Yes
LAW094,2024,LAW094_53,7.5,Yes
LAW094,2024,LAW094_54,7,Yes
LAW094,2024,LAW094_55,9,Yes
LAW094,2024,LAW094_56,6.5,Yes
LAW094,2024,LAW094_57,11,Yes
LAW094,2024,LAW094_58,10,Yes
LAW094,2024,LAW094_59,8.5,Yes
LAW094,2024,LAW094_60,6.5,Yes
LAW094,2025,LAW094_40,10,Yes
LAW094,2025,LAW094_42,11.5,Yes
LAW094,2025,LAW094_43,9.5,Yes
LAW094,2025,LAW094_44,18,Yes
LAW094,2025,LAW094_45,10.5,Yes
LAW094,2025,LAW094_46,7.5,Yes
LAW094,2025,LAW094_47,6,Yes
LAW094,2025,LAW094_48,7,Yes
LAW094,2025,LAW094_49,14,Yes
LAW094,2025,LAW094_50,14,Yes
LAW094,2025,LAW094_51,6.5,Yes
LAW094,2025,LAW094_52,2.5,Yes
LAW094,2025,LAW094_53,7,Yes
LAW094,2025,LAW094_54,9,Yes
LAW094,2025,LAW094_55,8.5,Yes
LAW094,2025,LAW094_56,5.5,Yes
LAW094,2025,LAW094_57,3.5,Yes
LAW094,2025,LAW094_58,11.5,Yes
LAW094,2025,LAW094_59,9,Yes
LAW094,2025,LAW094_60,6,Yes
LAW094,2025,LAW094_999,5.5,Yes
LAW095,2022,LAW095_21,25.5,Yes
LAW095,2022,LAW095_22,18.5,Yes
LAW095,2022,LAW095_23,13.5,Yes
LAW095,2022,LAW095_24,13,Yes
LAW095,2022,LAW095_25,17,Yes
LAW095,2022,LAW095_26,17.5,Yes
LAW095,2022,LAW095_27,5.5,Yes
LAW095,2022,LAW095_28,19,Yes
LAW095,2022,LAW095_29,9.5,Yes
LAW095,2022,LAW095_30,14,Yes
LAW095,2022,LAW095_31,6.5,Yes
LAW095,2022,LAW095_32,6,Yes
LAW095,2022,LAW095_33,14,Yes
LAW095,2022,LAW095_34,18.5,Yes
LAW095,2022,LAW095_35,5,Yes
LAW095,2022,LAW095_36,6.5,Yes
LAW095,2022,LAW095_37,8,Yes
LAW095,2022,LAW095_38,8,Yes
LAW095,2022,LAW095_39,12.5,Yes
LAW095,2022,LAW095_40,6,Yes
LAW095,2024,LAW095_21,22.5,Yes
LAW095,2024,LAW095_22,26.5,Yes
LAW095,2024,LAW095_23,4.5,Yes
LAW095,2024,LAW095_24,25.5,Yes
LAW095,2024,LAW095_25,16,Yes
LAW095,2024,LAW095_26,16,Yes
LAW095,2024,LAW095_27,3,Yes
LAW095,2024,LAW095_28,29,Yes
LAW095,2024,LAW095_29,4.5,Yes
LAW095,2024,LAW095_30,16.5,Yes
LAW095,2024,LAW095_31,7,Yes
LAW095,2024,LAW095_32,2.5,Yes
LAW095,2024,LAW095_33,17,Yes
LAW095,2024,LAW095_34,6,Yes
LAW095,2024,LAW095_35,1,No
LAW095,2024,LAW095_36,2.5,Yes
LAW095,2024,LAW095_37,2,Yes
LAW095,2024,LAW095_38,4.5,Yes
LAW095,2024,LAW095_39,11.5,Yes
LAW095,2024,LAW095_40,6.5,Yes
LAW095,2025,LAW095_21,16.5,Yes
LAW095,2025,LAW095_22,14,Yes
LAW095,2025,LAW095_23,6.5,Yes
LAW095,2025,LAW095_24,17.5,Yes
LAW095,2025,LAW095_25,7,Yes
LAW095,2025,LAW095_26,3,Yes
LAW095,2025,LAW095_27,3.5,Yes
LAW095,2025,LAW095_28,13,Yes
LAW095,2025,LAW095_29,4.5,Yes
LAW095,2025,LAW095_30,15.5,Yes
LAW095,2025,LAW095_31,2,Yes
LAW095,2025,LAW095_32,6.5,Yes
LAW095,2025,LAW095_33,6.5,Yes
LAW095,2025,LAW095_34,4.5,Yes
LAW095,2025,LAW095_35,4.5,Yes
LAW095,2025,LAW095_36,4,Yes
LAW095,2025,LAW095_37,2.5,Yes
LAW095,2025,LAW095_38,5,Yes
LAW095,2025,LAW095_39,7.5,Yes
LAW095,2025,LAW095_40,5.5,Yes
LAW095,2025,LAW095_999,6,Yes
LAW129_118,2022,LAW129_1,15,Yes
LAW129_118,2022,LAW129_10,16.5,Yes
LAW129_118,2022,LAW129_11,14,Yes
LAW129_118,2022,LAW129_12,15.5,Yes
LAW129_118,2022,LAW129_13,19.5,Yes
LAW129_118,2022,LAW129_14,29.5,Yes
LAW129_118,2022,LAW129_15,34.5,Yes
LAW129_118,2022,LAW129_16,4,Yes
LAW129_118,2022,LAW129_17,10.5,Yes
LAW129_118,2022,LAW129_18,18.5,Yes
LAW129_118,2022,LAW129_19,9,Yes
LAW129_118,2022,LAW129_2,18,Yes
LAW129_118,2022,LAW129_20,4,Yes
LAW129_118,2022,LAW129_3,23.5,Yes
LAW129_118,2022,LAW129_4,12,Yes
LAW129_118,2022,LAW129_5,12.5,Yes
LAW129_118,2022,LAW129_6,20.5,Yes
LAW129_118,2022,LAW129_7,12,Yes
LAW129_118,2022,LAW129_8,15.5,Yes
LAW129_118,2022,LAW129_9,21.5,Yes
LAW129_118,2023,LAW118_1,40,Yes
LAW129_118,2023,LAW118_10,5.5,Yes
LAW129_118,2023,LAW118_11,21,Yes
LAW129_118,2023,LAW118_12,36.5,Yes
LAW129_118,2023,LAW118_13,27,Yes
LAW129_118,2023,LAW118_14,22.5,Yes
LAW129_118,2023,LAW118_15,19,Yes
LAW129_118,2023,LAW118_2,34,Yes
LAW129_118,2023,LAW118_3,15,Yes
LAW129_118,2023,LAW118_4,21.5,Yes
LAW129_118,2023,LAW118_5,43.5,Yes
LAW129_118,2023,LAW118_6,17,Yes
LAW129_118,2023,LAW118_7,18.5,Yes
LAW129_118,2023,LAW118_8,11,Yes
LAW129_118,2023,LAW118_9,10,Yes
LAW129_118,2025,LAW118_10,0,No
LAW129_118,2025,LAW118_11,17.5,Yes
LAW129_118,2025,LAW118_13,9.5,Yes
LAW129_118,2025,LAW118_14,20.5,Yes
LAW129_118,2025,LAW118_6,5.5,Yes
LAW129_118,2025,LAW118_8,10.5,Yes
LAW129_118,2025,LAW129_1,24,Yes
LAW129_118,2025,LAW129_10,9,Yes
LAW129_118,2025,LAW129_12,18,Yes
LAW129_118,2025,LAW129_13,31,Yes
LAW129_118,2025,LAW129_14,47.5,Yes
LAW129_118,2025,LAW129_15,29,Yes
LAW129_118,2025,LAW129_17,35,Yes
LAW129_118,2025,LAW129_2,41,Yes
LAW129_118,2025,LAW129_21,3,Yes
LAW129_118,2025,LAW129_3,28,Yes
LAW129_118,2025,LAW129_5,40.5,Yes
LAW129_118,2025,LAW129_6,10.5,Yes
LAW129_118,2025,LAW129_7,11,Yes
LAW129_118,2025,LAW129_8,36.5,Yes
